date,value
25/12/2021,39
26/12/2021,37
27/12/2021,40
28/12/2021,41
29/12/2021,27
30/12/2021,22
31/12/2021,28
1/01/2022,21
2/01/2022,29
3/01/2022,29
4/01/2022,23
5/01/2022,24
6/01/2022,15
7/01/2022,18
8/01/2022,10
9/01/2022,23
10/01/2022,23
11/01/2022,21
12/01/2022,22
13/01/2022,21
14/01/2022,21
15/01/2022,23
16/01/2022,21
17/01/2022,22
18/01/2022,24
19/01/2022,24
20/01/2022,24
21/01/2022,19
22/01/2022,13
23/01/2022,11
24/01/2022,13
25/01/2022,12
26/01/2022,23
27/01/2022,20
28/01/2022,24
29/01/2022,24
30/01/2022,29
31/01/2022,20
1/02/2022,26
2/02/2022,28
3/02/2022,20
4/02/2022,20
5/02/2022,33
6/02/2022,37
7/02/2022,45
8/02/2022,48
9/02/2022,54
10/02/2022,50
11/02/2022,50
12/02/2022,44
13/02/2022,44
14/02/2022,46
15/02/2022,46
16/02/2022,51
17/02/2022,52
18/02/2022,30
19/02/2022,25
20/02/2022,27
21/02/2022,25
22/02/2022,20
23/02/2022,25
24/02/2022,23
25/02/2022,27
26/02/2022,26
27/02/2022,26
28/02/2022,20
1/03/2022,51
2/03/2022,52
3/03/2022,39
4/03/2022,33
5/03/2022,22
6/03/2022,22
7/03/2022,23
8/03/2022,21
9/03/2022,22
10/03/2022,28
11/03/2022,22
12/03/2022,22
13/03/2022,21
14/03/2022,23
15/03/2022,21
16/03/2022,24
17/03/2022,27
18/03/2022,25
19/03/2022,28
20/03/2022,31
21/03/2022,30
22/03/2022,26
23/03/2022,31
24/03/2022,40
25/03/2022,47
26/03/2022,51
27/03/2022,49
28/03/2022,60
29/03/2022,56
30/03/2022,55
31/03/2022,52
1/04/2022,50
2/04/2022,52
3/04/2022,48
4/04/2022,52
5/04/2022,53
6/04/2022,48
7/04/2022,34
8/04/2022,37
9/04/2022,30
10/04/2022,34
11/04/2022,32
12/04/2022,20
13/04/2022,25
14/04/2022,28
15/04/2022,22
16/04/2022,28
17/04/2022,28
18/04/2022,24
19/04/2022,27
20/04/2022,27
21/04/2022,27
22/04/2022,26
23/04/2022,24
24/04/2022,24
25/04/2022,23
26/04/2022,27
27/04/2022,21
28/04/2022,24
29/04/2022,23
30/04/2022,20
1/05/2022,22
2/05/2022,28
3/05/2022,27
4/05/2022,21
